year,scene_id,timestamp
2023,20231028T024821_20231028T025537_T49MDP,1698462572991
2023,20231030T023829_20231030T025125_T49MDP,1698634780099
2023,20231102T024849_20231102T030217_T49MDP,1698894575725
2023,20231114T023941_20231114T025517_T49MDP,1699930777010
2023,20231119T024009_20231119T025302_T49MDP,1700362775709
2023,20231217T025121_20231217T030912_T49MDP,1702782569202
2024,20240215T024811_20240215T030603_T49MDP,1707966570828
2024,20240220T024739_20240220T030910_T49MDP,1708398573936
2024,20240323T023531_20240323T025520_T49MDP,1711162779221
2024,20240502T023551_20240502T025256_T49MDP,1714618780887
2024,20240507T023529_20240507T025421_T49MDP,1715050778804
2024,20240515T024551_20240515T030911_T49MDP,1715742575954
2024,20240616T023529_20240616T025423_T49MDP,1718506780928
2024,20240621T023551_20240621T025648_T49MDP,1718938782949
2024,20240714T024531_20240714T030638_T49MDP,1720926575309
2024,20240716T023529_20240716T025424_T49MDP,1721098781090
2024,20240719T024529_20240719T030657_T49MDP,1721358576580
2024,20240724T024551_20240724T030651_T49MDP,1721790575272
2024,20240726T023529_20240726T025546_T49MDP,1721962780701
2024,20240729T024529_20240729T025855_T49MDP,1722222574854
2024,20240731T023551_20240731T025603_T49MDP,1722394780653
2024,20240803T024531_20240803T030547_T49MDP,1722654575675
2024,20240810T023551_20240810T025550_T49MDP,1723258779187
2024,20240813T024531_20240813T030507_T49MDP,1723518574677
2024,20240815T023529_20240815T025522_T49MDP,1723690781728
2024,20240818T024529_20240818T030428_T49MDP,1723950575463
2024,20240820T023551_20240820T025657_T49MDP,1724122776972
2024,20240825T023529_20240825T025519_T49MDP,1724554778538
2024,20240902T024551_20240902T030315_T49MDP,1725246572825
2024,20240904T023529_20240904T024811_T49MDP,1725418780812
2024,20240907T024529_20240907T030309_T49MDP,1725678575623
2024,20240909T023531_20240909T025507_T49MDP,1725850777409
2024,20240917T024529_20240917T030915_T49MDP,1726542570577
2024,20240919T023551_20240919T025427_T49MDP,1726714778774
2024,20240927T024529_20240927T025853_T49MDP,1727406572928
2024,20240929T023531_20240929T025850_T49MDP,1727578780175
2024,20241009T023611_20241009T025411_T49MDP,1728442775299
2024,20241012T024641_20241012T030427_T49MDP,1728702571300
2024,20241027T024719_20241027T030850_T49MDP,1729998573997
2024,20241029T023821_20241029T025815_T49MDP,1730170778706
2025,20250306T024529_20250306T030656_T49MDP,1741230576217
2025,20250422T023529_20250422T025422_T49MDP,1745290779388
2025,20250525T024529_20250525T030054_T49MDP,1748142574415
2025,20250530T024611_20250530T025909_T49MDP,1748574593405
2025,20250604T024529_20250604T030654_T49MDP,1749006573530
2025,20250606T023551_20250606T024851_T49MDP,1749178798566
2025,20250621T023529_20250621T025421_T49MDP,1750474778996
2025,20250626T023611_20250626T025921_T49MDP,1750906798436
2025,20250701T023529_20250701T025108_T49MDP,1751338780955
2025,20250701T025151_20250701T030648_T49MDP,1751339390366
2025,20250704T024529_20250704T030657_T49MDP,1751598576419
2025,20250709T024611_20250709T030856_T49MDP,1752030596081
2025,20250718T024151_20250718T025106_T49MDP,1752807597447
2025,20250721T023529_20250721T025423_T49MDP,1753066780737
2025,20250721T025201_20250721T025155_T49MDP,1753067389106
2025,20250726T023611_20250726T025923_T49MDP,1753498800498
2025,20250803T024529_20250803T030654_T49MDP,1754190573663
2025,20250808T024541_20250808T030716_T49MDP,1754622591562
2025,20250815T023611_20250815T025710_T49MDP,1755226797378
2025,20250904T023611_20250904T025918_T49MDP,1756954795477
2025,20250907T024601_20250907T030918_T49MDP,1757214589317
2025,20250927T024541_20250927T030709_T49MDP,1758942588494
2025,20251009T023529_20251009T025419_T49MDP,1759978776383
2025,20251014T023701_20251014T025921_T49MDP,1760410789765
